#For each GEM_plane#:
# APV# cm_mean cm_sigma

GEM_plane# 0
0 405.48 14.985
1 378.45 17.242
2 509.31 14.815
3 515.73 15.03
4 524.29 15.871
5 473.3 15.435
6 545.6 14.88
7 497.71 16.418
8 579.9 13.353
9 530.03 15.143
10 464.13 12.949
11 422.42 11.91
12 500.39 14.286
13 495.5 12.724
14 521.22 14.482
15 421.31 9.751
16 489.14 10.594
17 536.56 10.901
18 542.18 13.959
19 406.45 11.86
20 529.98 13.701
21 1916.9 8.1962
22 1938.1 6.0342
23 1948.3 7.8762
24 1957.3 6.6449
25 543.82 13.602
26 407.08 12.224
27 499.55 10.51
28 408.63 10.362
29 466.43 8.4545
30 427.89 14.562

GEM_plane# 1
0 430.71 9.7027
1 479.46 10.427
2 567.73 12.658
3 446.05 14.009
4 345.81 13.947
5 415.96 16.619
6 521.14 18.167
7 545.66 14.317
8 569.71 11.826
9 584.64 10.403
10 605.16 11.928
11 524.86 11.576
12 517.71 12.652
13 536.77 13.033
14 508.53 16.067
15 427.12 13.992
16 559.52 14.625
17 508.17 13.489
18 493.17 15.306
19 503.44 12.896
20 530.2 11.919
21 491.96 10.542
22 495.97 10.464
23 592.01 8.8674
24 285.61 7.8199
25 522.61 9.719
26 602.78 8.2715

GEM_plane# 2
0 378.76 17.309
1 343.33 17.243
2 484.7 17.993
3 547.2 16.895
4 640.4 16.572
5 400.49 17.648
6 388.06 16.886
7 520.4 17.255
8 472.99 13.615
9 490.61 14.316
10 466.41 15.698
11 557.56 12.978
12 465.51 14.907
13 552.19 12.738
14 510.22 18.081
15 347.21 17.859
16 479.05 18.352
17 465.6 24.329
18 551.41 17.656
19 634.44 17.673
20 654.86 18.377
21 415.53 14.344
22 496.24 12.576
23 534.84 11.908
24 542.26 12.856
25 510.13 11.577
26 465.5 12.201
27 500.58 10.534
28 552.27 10.686
29 350.11 7.0067
30 309.88 13.076

GEM_plane# 3
0 553.37 7.356
1 485.14 9.545
2 587.43 13.692
3 543.57 15.808
4 524.73 16.53
5 395.98 18.599
6 463.41 18.758
7 566.39 14.984
8 461.54 12.929
9 500.18 11.692
10 559.81 15.887
11 566.26 14.531
12 529.5 18.956
13 469.79 14.772
14 502.3 15.446
15 497.7 14.207
16 526.17 16.581
17 511.24 15.978
18 566.27 21.338
19 508.32 21.244
20 579.67 13.649
21 456.04 12.196
22 439 12.848
23 626.14 10.654
24 477.62 9.2762
25 499.58 8.0682
26 546.64 9.3693

GEM_plane# 4
0 505.23 9.9981
1 435.16 9.2004
2 524.46 8.7715
3 355.27 9.3028
4 296.02 11.021
5 571.48 11.76
6 356.76 10.37
7 529.7 9.6579
8 332.81 10.096
9 487.34 11.428
10 330.05 9.3174
11 497.11 10.077
12 534.1 9.6711
13 519.24 9.3498
14 488.32 12.203
15 503.69 12.528
16 434.16 9.9531
17 544.63 8.8256
18 548.25 10.905
19 398.82 10.62
20 478.98 9.7538
21 577.97 9.4194
22 572.43 10.756
23 505.62 12.107
24 493.47 9.7783
25 524.54 9.7764
26 443.57 8.0339
27 616.71 8.7866
28 495.7 7.8375
29 418.24 6.0166

GEM_plane# 5
0 409.69 8.8895
1 317.25 8.4781
2 586.99 10.315
3 481.14 9.557
4 501.74 10.614
5 514.74 9.6556
6 402.08 11.597
7 350.38 13.743
8 360.92 8.6885
9 542.95 8.3057
10 481.84 11.929
11 337.75 8.9061
12 484.19 11.914
13 465.41 13.473
14 386.49 14.605
15 562.09 14.395
16 442.96 11.013
17 475.39 11.765
18 529.08 7.9078
19 517.33 8.6789
20 552.85 9.8294
21 508.9 8.6069
22 482.18 8.0112
23 593.66 7.8645
24 285.49 10.376
25 491.68 8.2064
26 573.34 12.256
27 585.73 8.6726
28 500.88 13.053
29 483.31 6.9864

GEM_plane# 6
0 471.54 10.519
1 510.02 10.814
2 464.55 8.171
3 0 0
4 473.91 10.227
5 323.04 8.7701
6 507.44 8.4654
7 520.67 9.8854
8 492.73 9.338
9 515.49 9.7751
10 529.08 8.8684
11 512.79 7.7098
12 577.91 13.698
13 467.96 13.143
14 491.78 14.515
15 460.01 10.858
16 503.09 11.391
17 499.61 10.865
18 565.23 9.4257
19 590.4 9.6152
20 534.88 8.7057
21 510.52 9.2762
22 562.83 8.7106
23 512.59 8.5287
24 524.92 7.2781
25 507.32 8.0318
26 549.75 7.4949
27 543.2 8.3975
28 587.3 6.3532
29 507.31 6.2064

GEM_plane# 7
0 273.67 8.3762
1 366.27 7.1658
2 273.27 8.902
3 472.45 9.5912
4 364.91 11.099
5 542.18 8.9746
6 534.73 10.998
7 423.49 10.112
8 520.05 10.15
9 457.86 9.108
10 508.15 10.61
11 518.12 10.907
12 512.78 15.952
13 523.2 12.435
14 477.43 13.553
15 2040.1 3.7876
16 415.14 10.495
17 546.36 10.081
18 401.65 9.0865
19 596.09 9.4149
20 501.99 11.085
21 353.59 8.7928
22 425.75 9.4677
23 481.53 8.132
24 568.79 10.072
25 591 10.283
26 547.37 8.8588
27 483.23 7.8672
28 528.47 9.4917
29 496.65 5.98

GEM_plane# 8
0 511.97 7.488
1 537.35 9.2902
2 494.28 10.603
3 644.6 12.512
4 402.17 11.339
5 517.96 13.572
6 505.11 12.44
7 559.62 13.252
8 431.02 13.145
9 555.22 13.164
10 549.94 15.04
11 607.42 13.187
12 472.35 15.618
13 471.74 16.132
14 523.64 16.36
15 587.3 14.259
16 476.34 11.153
17 515.95 12.13
18 513.62 6.8875
19 462.3 13.995
20 545.98 11.549
21 534.69 11.525
22 457.26 11.45
23 488.77 12.514
24 506.63 11.017
25 608.72 9.1814
26 555.7 8.4721
27 478.97 8.3791
28 594.23 7.092
29 575.69 7.9943

GEM_plane# 9
0 530.72 7.9011
1 581.4 8.3763
2 535.29 9.9916
3 517.23 12.59
4 552.51 11.163
5 603.37 10.777
6 569.79 13.974
7 517.5 12.861
8 685.61 7.3301
9 538.8 11.913
10 347.46 15.269
11 520.46 13.809
12 409.43 12.959
13 652.7 14.042
14 634.92 16.95
15 573.12 18.722
16 605.44 15.725
17 601.8 14.539
18 603.72 13.169
19 472.12 12.54
20 649.8 13.523
21 458 13.249
22 676.21 12.082
23 599.86 10.733
24 660.92 10.184
25 717.5 9.7502
26 506.44 9.8992
27 524.22 9.9892
28 455.27 9.4035
29 441.07 7.925

GEM_plane# 10
0 669.32 8.3633
1 495.65 10.073
2 674.76 10.363
3 623.79 11.846
4 673.82 11.71
5 602.9 12.278
6 690.08 11.599
7 689.65 12.102
8 520.56 11.938
9 476.93 13.694
10 510.3 11.433
11 489.62 12.842
12 449.54 11.849
13 433.14 14.274
14 451.6 16.822
15 508.39 15.668
16 498.66 15.514
17 584.75 15.484
18 545.86 12.542
19 592.7 12.834
20 468.86 11.54
21 562.5 11.017
22 560.76 12.103
23 427.22 11.836
24 508 11.724
25 546.97 12.323
26 543.87 8.1656
27 411.23 8.4798
28 466.72 8.4663
29 393.32 6.5855

GEM_plane# 11
0 477.76 12.182
1 459.31 13.085
2 500.39 15.069
3 605.14 13.815
4 493.77 11.046
5 434.83 12.134
6 513.76 13.84
7 303.15 13.979
8 347.82 11.221
9 545.58 11.844
10 435.06 13.72
11 421.55 15.344
12 496.56 12.23
13 566.47 13.595
14 449.44 15.605
15 470.02 22.889
16 445.21 21.713
17 450.23 20.105
18 581.3 15.431
19 553.87 17.897
20 616.81 14.878
21 518.85 16.562
22 1193 14.772
23 365.21 23.231
24 542.43 30.852
25 613.73 17.511
26 411.56 16.573
27 380.8 11.572
28 614.2 12.102
29 552.8 9.9833

GEM_plane# 12
0 601.03 12.863
1 598.14 16.746
2 560.81 11.044
3 552.35 11.052
4 526.43 11.294
5 562.38 12.23
6 586.08 12.497
7 578.27 11.653
8 557.41 16.754
9 586.7 12.731

GEM_plane# 13
0 600.58 13.135
1 625.63 11.188
2 594.96 11.511
3 615.17 10.363
4 581.33 10.253
5 539.17 11.16
6 611.48 13.029
7 666.37 10.85
8 608.5 9.875
9 658.34 11.086
10 606.45 11.024
11 510.59 11.423

GEM_plane# 14
0 440.3 10.613
1 367.15 10.207
2 497.38 10.417
3 355.77 9.1729
4 566.97 9.7383
5 393.15 9.9012
6 546.66 11.044
7 402.32 9.8554
8 535.06 10.366
9 542.33 12.615

GEM_plane# 15
0 473.52 12.896
1 661.45 10.084
2 488.23 11.209
3 455.03 9.4908
4 586.66 10.103
5 613.35 10.053
6 658.52 10.767
7 614.55 10.195
8 564.26 9.3976
9 593.11 9.4243
10 567.56 10.349
11 0 0

GEM_plane# 16
0 534.08 8.9075
1 365.8 8.4875
2 328.12 8.2019
3 553.51 9.0414
4 567.9 9.4547
5 537.94 9.8097
6 488.07 8.9084
7 475.17 8.9952
8 424.77 9.3095
9 486.06 10.386

GEM_plane# 17
0 694.66 10.641
1 464 8.0081
2 777.23 8.0206
3 664.34 7.7147
4 490.39 7.9544
5 624.73 10.744
6 604.6 8.7729
7 597.69 8.6169
8 518.63 8.3218
9 416.29 9.5441
10 596.57 8.0595
11 624.71 12.117

GEM_plane# 18
0 531.96 8.799
1 470.73 8.0659
2 463.95 9.0453
3 510.3 9.3795
4 528.02 9.5472
5 705.17 8.9617
6 710.04 9.7721
7 620.5 12.119
8 765.16 9.9211
9 639.54 10.218

GEM_plane# 19
0 610.52 10.558
1 668.88 8.0461
2 577 7.8137
3 573.4 8.2567
4 592.95 8.1725
5 654.62 10.035
6 511.12 8.8995
7 433.42 8.3069
8 415.78 8.8447
9 402.19 9.4575
10 472.38 8.2836
11 513.8 10.825

GEM_plane# 20
0 580.35 9.9669
1 571.68 9.4993
2 571.84 10.321
3 535.77 8.971
4 421.47 9.6759
5 351.75 8.9773
6 418.68 8.9451
7 447.03 8.7467
8 467.63 9.2575
9 452.77 10.057

GEM_plane# 21
0 431.45 11.194
1 547.92 8.8379
2 422.71 10.106
3 542.54 8.6255
4 698.22 9.0579
5 473.75 9.4092
6 656.84 10.851
7 391.04 8.3809
8 454.41 8.2867
9 441.86 8.146
10 643.51 8.0475
11 647.13 10.055

GEM_plane# 22
0 514.14 10.273
1 588.69 9.0697
2 594.87 9.7249
3 427.21 9.0565
4 423.46 9.0544
5 496.92 9.6601
6 495.95 8.7994
7 630.81 9.4523
8 389.66 9.2917
9 383.4 9.284

GEM_plane# 23
0 472.94 10.315
1 784.35 8.8573
2 639.27 8.723
3 715.06 9.3895
4 566.56 8.5785
5 535.12 8.3773
6 615.92 10.544
7 616.98 8.553
8 592.4 8.4189
9 619.14 8.5567
10 715.93 8.7098
11 433.86 8.8882

GEM_plane# 24
0 610.58 9.7343
